ROCKABYE BABY,"Joey Bada$$,ScHoolboy Q"
FOR MY PEOPLE,Joey Bada$$
TEMPTATION,Joey Bada$$
BABYLON (feat. Chronixx),"Joey Bada$$,Chronixx"
Hazeus View,Joey Bada$$
DNA.,Kendrick Lamar
Goyard Bag,"Fabolous,Lil Uzi Vert"
Audi.,Smokepurpp
Glock In My Benz,Smokepurpp
F**k A Swisher,"Smokepurpp,Xavier Wulf"
Doomsday,"MF DOOM,MF Grimm"
Off the Wall,Nyck @ Knight
All Caps,Madvillain
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator,Frank Ocean,Steve Lacy"
Who Dat Boy (feat. A$AP Rocky),"Tyler, The Creator,A$AP Rocky"
Excuse Me,A$AP Rocky
Look At Me!,XXXTENTACION
Pac Blood,Danny Brown
Mirror (feat. Earl Sweatshirt),"Samiyam,Earl Sweatshirt"
Polo Socks,Oliver Francis
YAH.,Kendrick Lamar
The Fine Print,King Geedorah
Raid,"Madvillain,MED"
Fancy Clown,"Madvillain,Viktor Vaughn"
500 Benz,Joey Bada$$
Enter The Void (feat. Ab-Soul),Joey Bada$$
Waves,Joey Bada$$
GOLD,BROCKHAMPTON
Baptized In Fire,"Kid Cudi,Travis Scott"
Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator,Rex Orange County,Anna of the North"
Dial Up,"Nyck Caution,Kirk Knight,Nyck @ Knight"
Wrong (feat. A$AP Rocky & A$AP Ferg),"A$AP Mob,A$AP Rocky,A$AP Ferg"
No Heart,"21 Savage,Metro Boomin"
Memo,Young Thug
Foreword (feat. Rex Orange County),"Tyler, The Creator,Rex Orange County"
Where This Flower Blooms (feat. Frank Ocean),"Tyler, The Creator,Frank Ocean"
Pothole (feat. Jaden Smith),"Tyler, The Creator,Jaden"
Garden Shed (feat. Estelle),"Tyler, The Creator,Estelle"
I Ain't Got Time!,"Tyler, The Creator"
November,"Tyler, The Creator"
Glitter,"Tyler, The Creator"
Perfect Murder,"Nyck Caution,Nyck @ Knight"
M'$ (feat. Lil Wayne),"A$AP Rocky,Lil Wayne"
Different Color Molly,Smokepurpp
See You Again (feat. Kali Uchis),"Tyler, The Creator,Kali Uchis"
Soul Doubt,$uicideboy$
Hot N*gga,Bobby Shmurda
Met Gala (feat. Offset),"Gucci Mane,Offset"
Wyclef Jean,Young Thug
Strapped,A$AP Twelvyy
War Ready,Vince Staples
Pimp Hand,Vince Staples
Man in the Sixties,Balue
Love Sosa,Chief Keef
Droppin' Seeds (feat. Lil' Wayne),"Tyler, The Creator,Lil Wayne"
Dark Red,Steve Lacy
Some,Steve Lacy
C U Girl,Steve Lacy
Huey,Earl Sweatshirt
That's My Energy +,Smokepurpp
6 Rings,Smokepurpp
To The Moon,Smokepurpp
Treat Her Like a Prostitute,"$uicideboy$,Germ"
Rukus,"$uicideboy$,Germ"
"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)","A$AP Ferg,French Montana,A$AP Rocky,Trinidad James,ScHoolboy Q"
Hoover Street,ScHoolboy Q
Break The Bank,ScHoolboy Q
7AM,Lil Uzi Vert
Top,Lil Uzi Vert
Enemies,Lil Uzi Vert
Paradise,Lil Uzi Vert
Ronda (Winners),Lil Uzi Vert
Savage Mode,"21 Savage,Metro Boomin"
Magazine,$uicideboy$
Killamonjaro,KILLY
Off-White (feat. Global Mongo),"Global Dan,Global Mongo"
Dis Iz 4 All My Smokers,"Method Man,Redman"
You're Now Tuning in to 66.6 Fm with DJ Rapture,$uicideboy$
Hard to Tell,$uicideboy$
"New Chains, Same Shackles",$uicideboy$
Styrofoam,$uicideboy$
Withdrawals / Withdrawals,$uicideboy$
XXX. FEAT. U2.,"Kendrick Lamar,U2"
The Purge,"ScHoolboy Q,Tyler, The Creator,Kurupt"
His & Her Fiend,"ScHoolboy Q,SZA"
Gangsta,ScHoolboy Q
Blind Threats,"ScHoolboy Q,Raekwon"
Zambamafoo,"HoodRich Pablo Juan,Lil Uzi Vert"
untitled 08 | 09.06.2014.,Kendrick Lamar
Slenderman (feat. Germ),"$uicideboy$,Germ"
Brooklyn (feat. Black Smurf),"$uicideboy$,Black Smurf"
Rag Round My Skull,$uicideboy$
Hive (feat. Vince Staples & Casey Veggies),"Earl Sweatshirt,Vince Staples,Casey Veggies"
Glow Like Dat,Rich Brian
Low Key,$uicideboy$
Rubber Band Man (feat. Cam'ron),"A$AP Ferg,Cam’ron"
Tezeta,"King Gizzard & The Lizard Wizard,Mild High Club"
Dusk To Dawn On Lygon Street,"King Gizzard & The Lizard Wizard,Mild High Club"
RIP Roach,"XXXTENTACION,Ski Mask The Slump God"
YuNg BrAtZ,XXXTENTACION
I Get The Bag (feat. Migos),"Gucci Mane,Migos"
Love Scars,Trippie Redd
Here We Go Again,"$uicideboy$,Germ"
The Sacred,$uicideboy$
"If You Were to Get What You Deserve, You Would Know What the Bottom of a Tire Tastes Like",$uicideboy$
Red and Gold,"MF DOOM,King Ghidra"
AM // Radio (feat. Wiki),"Earl Sweatshirt,Wiki"
Molasses (feat. RZA),"Earl Sweatshirt,RZA"
Love Scars Pt. 2 / Rack City,"Trippie Redd,Antionia,Chris King"
Poles 1469,"Trippie Redd,6ix9ine"
dothatS**t!,Playboi Carti
FAKE,BROCKHAMPTON
HEAT,BROCKHAMPTON
BEN CARSON,BROCKHAMPTON
PALACE,BROCKHAMPTON
444+222,Lil Uzi Vert
Feelings Mutual,Lil Uzi Vert
Malfunction,Lil Uzi Vert
Early 20 Rager,Lil Uzi Vert
Dark Queen,Lil Uzi Vert
"Perry Aye (feat. A$AP Rocky, A$AP Nast, Playboi Carti & Jaden Smith)","A$AP Mob,A$AP Rocky,A$AP NAST,Playboi Carti,Jaden"
Black Card (feat. A$AP Rocky & Smooky MarGielaa),"A$AP Mob,A$AP Rocky,Smooky MarGielaa"
"Get The Bag (feat. A$AP Rocky, A$AP Ferg, A$AP Ant, A$AP Nast, A$AP TyY, Playboi Carti & Smooky MarGielaa)","A$AP Mob,A$AP Rocky,A$AP Ferg,A$AP ANT,A$AP NAST,A$AP TyY,Playboi Carti,Smooky MarGielaa"
"What Happens (feat. A$AP Rocky, A$AP Ferg, Joey Bada$$, Kirk Knight, Nyck Caution, Meechy Darko & Zombie Juice)","A$AP Mob,A$AP Rocky,A$AP Ferg,Joey Bada$$,Kirk Knight,Nyck Caution,Meechy Darko,Zombie Juice"
Jocelyn Flores,XXXTENTACION
Depression & Obsession,XXXTENTACION
Everybody Dies In Their Nightmares,XXXTENTACION
Save Me,XXXTENTACION
